Token,Adapted,EngCategory,POS,NE
ARTICLE0003,_,_,PROPN,B
",",_,_,PUNCT,O
",",_,_,PUNCT,I
"""",_,_,PUNCT,O
"""",_,_,PUNCT,I
Qué,_,_,PRON,B
Qué,_,_,DET,B
es,_,_,AUX,O
es,_,_,AUX,I
es,_,_,NOUN,O
el,_,_,DET,O
el,_,_,DET,I
el,_,_,DET,B
sharenting,false,Insertion,PROPN,O
sharenting,_,_,PROPN,O
y,_,_,CONJ,O
y,_,_,CONJ,I
por,_,_,ADP,O
por,_,_,ADP,I
qué,_,_,PRON,O
qué,_,_,DET,O
qué,_,_,PRON,I
un,_,_,DET,O
un,_,_,DET,I
problema,_,_,NOUN,O
problema,_,_,NOUN,I
moderno,_,_,ADJ,O
de,_,_,ADP,O
de,_,_,ADP,I
la,_,_,DET,O
la,_,_,DET,I
la,_,_,PRON,O
la,_,_,DET,B
la,_,_,PRON,I
paternidad,_,_,NOUN,O
¿,_,_,PUNCT,O
¿,_,_,PUNCT,B
Cuánto,_,_,PRON,B
compartes,_,_,NOUN,O
en,_,_,ADP,O
en,_,_,ADP,I
internet,_,_,NOUN,O
internet,_,_,PROPN,O
internet,false,Insertion,NOUN,O
internet,false,Insertion,PROPN,O
sobre,_,_,ADP,O
sobre,_,_,ADP,I
vida,_,_,NOUN,O
vida,_,_,NOUN,I
tus,_,_,DET,O
hijos,_,_,NOUN,O
?,_,_,PUNCT,O
?,_,_,PUNCT,I
Y,_,_,CONJ,O
Y,_,_,CONJ,B
hasta,_,_,ADP,O
hasta,_,_,ADV,O
hasta,_,_,ADP,I
punto,_,_,NOUN,O
quieres,_,_,ADJ,O
ver,_,_,VERB,O
ver,_,_,VERB,I
ver,_,_,NOUN,O
ver,_,_,PROPN,O
información,_,_,NOUN,O
información,_,_,NOUN,I
los,_,_,DET,O
los,_,_,DET,I
los,_,_,DET,B
los,_,_,PRON,O
los,_,_,PRON,I
demás,_,_,PRON,O
las,_,_,DET,O
las,_,_,PRON,O
las,_,_,DET,I
redes,_,_,NOUN,O
sociales,_,_,ADJ,O
El,_,_,DET,O
El,_,_,DET,B
-,_,_,PUNCT,O
anglicismo,_,_,NOUN,O
que,_,_,PRON,O
que,_,_,SCONJ,O
que,_,_,SCONJ,I
que,_,_,PRON,I
proviene,_,_,VERB,O
share,false,Insertion,PROPN,O
(,_,_,PUNCT,O
(,false[32],Named Entity[32],PUNCT,O
compartir,_,_,VERB,O
),_,_,PUNCT,O
),false[32],Named Entity[32],PUNCT,O
parenting,false,Insertion,PROPN,O
consiste,_,_,VERB,O
documentar,_,_,VERB,O
primeras,_,_,ADJ,O
sonrisas,_,_,NOUN,O
palabras,_,_,NOUN,O
palabras,_,_,NOUN,I
pasos,_,_,NOUN,O
pasos,_,_,NOUN,I
.,_,_,PUNCT,O
.,_,_,PUNCT,I
cada,_,_,DET,O
cada,_,_,DET,I
una,_,_,PRON,O
una,_,_,DET,O
una,_,_,DET,I
anécdotas,_,_,NOUN,O
más,_,_,ADV,O
más,_,_,ADV,I
pequeños,_,_,ADJ,O
Facebook,false,Named Entity,PROPN,B
Facebook,false,Named Entity,PROPN,I
Facebook,_,_,PROPN,B
Facebook,_,_,PROPN,I
Instagram,false,Named Entity,PROPN,B
Instagram,_,_,PROPN,B
otras,_,_,DET,O
otras,_,_,DET,I
otras,_,_,PRON,O
se,_,_,PRON,O
se,_,_,PRON,I
ha,_,_,AUX,O
convertido,_,_,VERB,O
práctica,_,_,NOUN,O
tan,_,_,ADV,O
tan,_,_,ADV,I
habitual,_,_,ADJ,O
diccionario,_,_,NOUN,O
británico,_,_,ADJ,O
Collins,_,_,PROPN,B
lo,_,_,PRON,O
lo,_,_,DET,O
lo,_,_,DET,I
lo,_,_,PRON,I
incluyó,_,_,VERB,O
sus,_,_,DET,O
sus,_,_,PRON,O
páginas,_,_,NOUN,O
2016,_,_,NOUN,O
Desde,_,_,ADP,O
entonces,_,_,ADV,O
fenómeno,_,_,NOUN,O
no,_,_,ADV,O
no,_,_,ADV,I
no,_,_,PART,O
no,_,_,PART,I
dejado,_,_,AUX,O
crecer,_,_,VERB,O
Hasta,_,_,ADP,O
ahora,_,_,ADV,O
existido,_,_,VERB,O
otra,_,_,DET,O
otra,_,_,PRON,O
generación,_,_,NOUN,O
niños,_,_,NOUN,O
con,_,_,ADP,O
con,_,_,ADP,I
infancia,_,_,NOUN,O
pública,_,_,ADJ,O
probable,_,_,ADJ,O
cuando,_,_,SCONJ,O
cuando,_,_,PRON,O
crezcan,_,_,VERB,O
muchos,_,_,PRON,O
muchos,_,_,DET,O
estén,_,_,AUX,O
acuerdo,_,_,NOUN,O
ello,_,_,PRON,O
ello,_,_,PRON,I
dañino,_,_,ADJ,O
3,_,_,NUM,O
categorías,_,_,NOUN,O
Podría,_,_,AUX,O
decirse,_,_,VERB,O
existen,_,_,VERB,O
tres,_,_,NUM,O
padres,_,_,NOUN,O
padres,_,_,NOUN,I
:,_,_,PUNCT,O
:,_,_,PUNCT,I
Los,_,_,DET,O
Los,_,_,DET,B
Los,_,_,DET,I
orgullosos,_,_,NOUN,O
orgullosos,_,_,ADJ,O
protectores,_,_,NOUN,I
irritados,_,_,ADJ,I
primeros,_,_,ADJ,I
primeros,_,_,ADJ,O
son,_,_,AUX,O
aquellos,_,_,PRON,O
aquellos,_,_,DET,O
a,_,_,ADP,O
a,_,_,ADP,I
quienes,_,_,PRON,O
les,_,_,PRON,O
encantaría,_,_,VERB,O
contactos,_,_,NOUN,O
supieran,_,_,VERB,O
todo,_,_,PRON,O
todo,_,_,DET,O
todo,_,_,DET,I
encargan,_,_,VERB,O
hacerlo,_,_,AUX,O
hacerlo,_,_,PROPN,O
publicando,_,_,VERB,O
foto,_,_,NOUN,O
anécdota,_,_,NOUN,O
través,_,_,NOUN,O
red,_,_,NOUN,O
social,_,_,ADJ,O
Savannah,_,_,PROPN,B
Morrison,_,_,PROPN,I
Glasgow,_,_,PROPN,B
Escocia,_,_,PROPN,B
ellas,_,_,PRON,O
Me,_,_,PRON,O
Me,_,_,PRON,B
encanta,_,_,VERB,O
encanta,_,_,VERB,I
publicar,_,_,VERB,O
fotos,_,_,NOUN,O
mi,_,_,DET,O
mi,_,_,DET,I
pequeño,_,_,ADJ,O
pequeño,_,_,ADJ,I
e,_,_,CONJ,O
e,_,_,CONJ,I
mis,_,_,DET,I
mis,_,_,DET,O
amigos,_,_,NOUN,I
amigos,_,_,NOUN,O
familiares,_,_,NOUN,O
familiares,_,_,ADJ,O
comenten,_,_,VERB,O
o,_,_,CONJ,O
hagan,_,_,VERB,O
hagan,_,_,AUX,O
clic,true,Insertion,ADV,O
',_,_,SYM,O
',_,_,SYM,I
gusta,_,_,VERB,I
gusta,_,_,VERB,O
le,_,_,PRON,O
le,_,_,PRON,I
cuenta,_,_,VERB,O
cuenta,_,_,NOUN,O
BBC,_,_,PROPN,B
BBC,false,Named Entity,PROPN,B
También,_,_,ADV,B
También,_,_,ADV,O
disfruto,_,_,VERB,O
comentando,_,_,VERB,O
haciendo,_,_,VERB,O
like,false,Insertion,ADV,O
parece,_,_,AUX,O
increíble,_,_,ADJ,O
pueda,_,_,AUX,O
pueda,_,_,VERB,O
sentirme,_,_,VERB,O
parte,_,_,NOUN,O
parte,_,_,NOUN,I
vidas,_,_,NOUN,O
estando,_,_,VERB,O
miles,_,_,NUM,O
kilómetros,_,_,NOUN,O
kilómetros,_,_,NOUN,I
distancia,_,_,NOUN,O
distancia,_,_,NOUN,I
En,_,_,ADP,O
En,_,_,ADP,B
opinión,_,_,NOUN,O
mientras,_,_,SCONJ,O
mientras,_,_,CONJ,O
sean,_,_,AUX,O
indecentes,_,_,NOUN,O
justificar,_,_,VERB,O
presencia,_,_,NOUN,O
del,_,_,ADP,O
del,_,_,ADP,I
niño,_,_,NOUN,O
si,_,_,SCONJ,O
pregunta,_,_,VERB,O
pregunta,_,_,VERB,I
pregunta,_,_,NOUN,O
crece,_,_,VERB,O
hay,_,_,AUX,O
hay,_,_,AUX,I
agrega,_,_,VERB,O
Lo,_,_,DET,B
genera,_,_,VERB,I
genera,_,_,ADJ,O
genera,_,_,VERB,O
debate,_,_,NOUN,I
debate,_,_,NOUN,O
para,_,_,ADP,O
para,_,_,ADP,I
solo,_,_,ADJ,O
solo,_,_,ADV,O
hecho,_,_,NOUN,O
hecho,_,_,NOUN,I
hecho,_,_,VERB,O
hecho,_,_,ADJ,O
sin,_,_,ADP,O
permiso,_,_,NOUN,O
menor,_,_,ADJ,O
ya,_,_,ADV,O
indecente,_,_,ADJ,O
Son,_,_,AUX,B
privacidad,_,_,NOUN,I
privacidad,_,_,NOUN,O
menos,_,_,ADV,O
menos,_,_,ADV,I
pero,_,_,CONJ,O
mucho,_,_,ADV,O
cautelosos,_,_,ADJ,O
hora,_,_,NOUN,O
imágenes,_,_,NOUN,O
aparecen,_,_,VERB,O
menores,_,_,ADJ,O
Hago,_,_,VERB,O
posible,_,_,ADJ,O
poner,_,_,VERB,O
ninguna,_,_,DET,O
hijo,_,_,NOUN,O
explica,_,_,VERB,O
briánica,_,_,ADJ,O
Rosie,_,_,PROPN,B
McDonald,_,_,PROPN,I
Es,_,_,AUX,O
Es,_,_,AUX,B
ser,_,_,NOUN,O
ser,_,_,AUX,O
humano,_,_,ADJ,O
tiene,_,_,VERB,O
tiene,_,_,VERB,I
mismo,_,_,DET,O
mismo,_,_,ADJ,O
mismo,_,_,PRON,O
mismo,_,_,PRON,I
derecho,_,_,NOUN,O
cualquier,_,_,DET,O
cualquier,_,_,DET,I
persona,_,_,NOUN,O
persona,_,_,NOUN,I
Siendo,_,_,AUX,B
su,_,_,DET,O
su,_,_,DET,I
su,_,_,PRON,O
capacidad,_,_,NOUN,O
comprensión,_,_,NOUN,O
eso,_,_,PRON,O
eso,_,_,PRON,I
significa,_,_,VERB,O
adulto,_,_,NOUN,O
considera,_,_,VERB,O
trabajo,_,_,NOUN,O
trabajo,_,_,VERB,O
trabajo,_,_,PROPN,O
como,_,_,SCONJ,O
como,_,_,PRON,O
madre,_,_,NOUN,O
asegurarse,_,_,ADJ,O
derechos,_,_,NOUN,O
reconocidos,_,_,VERB,O
respetados,_,_,ADJ,O
muchas,_,_,DET,O
muchas,_,_,PRON,O
personas,_,_,NOUN,O
están,_,_,AUX,O
irritadas,_,_,ADJ,O
hartas,_,_,NOUN,O
Sus,_,_,DET,B
muros,_,_,NOUN,I
repletos,_,_,NOUN,O
tienen,_,_,VERB,O
bastante,_,_,ADV,O
Detesto,_,_,VERB,O
publican,_,_,VERB,O
cosas,_,_,NOUN,O
cosas,_,_,NOUN,I
mensajes,_,_,NOUN,O
cumpleaños,_,_,NOUN,O
todavía,_,_,ADV,O
suficientemente,_,_,ADV,O
mayores,_,_,ADJ,O
leerlo,_,_,PROPN,O
dijo,_,_,VERB,O
Shaun,_,_,PROPN,B
Bacon,_,_,PROPN,I
No,_,_,ADV,O
No,_,_,ADV,B
No,_,_,PART,O
me,_,_,PRON,O
cuenten,_,_,VERB,O
él,_,_,PRON,O
ella,_,_,PRON,O
ella,_,_,PRON,I
díganselo,_,_,NOUN,O
cara,_,_,NOUN,O
viven,_,_,VERB,O
misma,_,_,DET,O
casa,_,_,NOUN,O
necesito,_,_,VERB,I
concluye,_,_,VERB,O
Ofcom,_,_,PROPN,B
regulador,_,_,NOUN,O
comunicaciones,_,_,NOUN,O
Reino,_,_,PROPN,B
Reino,_,_,PROPN,I
Unido,_,_,PROPN,I
elaboró,_,_,VERB,O
estudio,_,_,NOUN,O
estudio,_,_,NOUN,I
2017,_,_,NOUN,O
sugiere,_,_,VERB,O
videos,_,_,NOUN,O
divisorio,_,_,ADJ,O
muy,_,_,ADV,O
muy,_,_,ADV,I
divididos,_,_,ADJ,O
sensato,_,_,VERB,O
Lindsey,_,_,PROPN,I
Lindsey,_,_,PROPN,B
Fussell,_,_,PROPN,I
directora,_,_,NOUN,O
directora,_,_,ADJ,O
consumo,_,_,NOUN,O
La,_,_,DET,O
La,_,_,DET,B
La,_,_,DET,I
buena,_,_,ADJ,O
noticia,_,_,NOUN,O
hacen,_,_,VERB,O
seguros,_,_,ADJ,O
restringir,_,_,VERB,O
quién,_,_,PRON,O
puede,_,_,AUX,O
esas,_,_,DET,O
algunos,_,_,DET,O
algunos,_,_,PRON,O
algunos,_,_,PRON,I
ejemplo,_,_,NOUN,O
ejemplo,_,_,NOUN,I
huella,_,_,NOUN,I
huella,_,_,NOUN,O
digital,_,_,ADJ,I
digital,_,_,ADJ,O
Sin,_,_,ADP,I
Sin,_,_,ADP,B
embargo,_,_,NOUN,I
mitad,_,_,NOUN,O
entrevistadas,_,_,ADJ,O
declararon,_,_,VERB,O
piensan,_,_,VERB,O
parecerá,_,_,VERB,O
bien,_,_,ADV,O
bien,_,_,ADV,I
compartan,_,_,VERB,O
solamente,_,_,ADV,O
al,_,_,ADP,O
al,_,_,ADP,I
preocupa,_,_,VERB,O
piensen,_,_,VERB,O
dentro,_,_,ADV,O
unos,_,_,DET,O
unos,_,_,PRON,O
años,_,_,NOUN,O
años,_,_,NOUN,I
Sociedad,_,_,PROPN,I
Nacional,_,_,PROPN,I
Prevención,_,_,PROPN,I
Crueldad,_,_,PROPN,I
contra,_,_,ADP,I
contra,_,_,ADP,O
Niños,_,_,PROPN,I
NSPCC,_,_,PROPN,B
siglas,_,_,NOUN,O
inglés,_,_,NOUN,O
inglés,_,_,ADJ,O
advierte,_,_,VERB,O
advierte,_,_,VERB,I
vez,_,_,NOUN,O
video,_,_,PROPN,O
video,_,_,NOUN,I
video,false,Insertion,PROPN,O
video,false,Insertion,NOUN,I
publicada,_,_,ADJ,O
crea,_,_,VERB,O
seguirlo,_,_,VERB,O
adulta,_,_,ADJ,O
Siempre,_,_,ADV,O
importante,_,_,ADJ,O
pedirle,_,_,NOUN,O
antes,_,_,ADV,O
contó,_,_,VERB,O
vocera,_,_,NOUN,O
organismo,_,_,NOUN,O
Si,_,_,SCONJ,O
Si,_,_,SCONJ,B
trata,_,_,VERB,O
piensa,_,_,VERB,O
gustaría,_,_,VERB,O
publicaras,_,_,VERB,O
avergonzaría,_,_,VERB,O
estás,_,_,AUX,I
seguro,_,_,ADJ,I
mejor,_,_,ADJ,O
mejor,_,_,ADJ,I
hagas,_,_,VERB,O
fraudes,_,_,NOUN,I
fraudes,_,_,NOUN,O
Más,_,_,ADV,I
Más,_,_,ADV,B
Más,_,_,ADV,O
allá,_,_,ADV,I
allá,_,_,ADV,O
dilemas,_,_,NOUN,I
éticos,_,_,ADJ,I
comparten,_,_,VERB,O
implicar,_,_,VERB,O
riesgos,_,_,NOUN,O
seguridad,_,_,NOUN,O
seguridad,_,_,NOUN,I
Según,_,_,ADP,B
compañía,_,_,NOUN,O
servicios,_,_,NOUN,O
financieros,_,_,ADJ,O
financieros,_,_,NOUN,O
Barclays,_,_,PROPN,B
Barclays,false,Named Entity,PROPN,B
puerta,_,_,NOUN,O
banco,_,_,NOUN,I
dice,_,_,VERB,O
comprometiendo,_,_,VERB,O
financiera,_,_,ADJ,O
futura,_,_,ADJ,O
suya,_,_,DET,O
propia,_,_,ADJ,O
propia,_,_,DET,O
medida,_,_,NOUN,O
datos,_,_,NOUN,O
De,_,_,ADP,B
De,_,_,ADP,O
empresa,_,_,NOUN,O
empresa,_,_,NOUN,I
calcula,_,_,VERB,O
hacia,_,_,ADP,O
2030,_,_,NOUN,O
podría,_,_,AUX,O
podría,_,_,AUX,I
costar,_,_,VERB,O
millones,_,_,NOUN,O
millones,_,_,NOUN,I
línea,_,_,NOUN,O
siendo,_,_,AUX,O
responsable,_,_,ADJ,O
responsable,_,_,ADJ,I
responsable,_,_,NOUN,O
dos,_,_,NUM,O
dos,_,_,NUM,I
terceras,_,_,ADJ,O
partes,_,_,NOUN,O
suplantaciones,_,_,NOUN,O
identidad,_,_,NOUN,O
próxima,_,_,ADJ,O
próxima,_,_,ADJ,I
década,_,_,NOUN,O
década,_,_,NOUN,I
cometer,_,_,VERB,O
estafas,_,_,NOUN,O
nunca,_,_,ADV,O
fue,_,_,AUX,O
fácil,_,_,ADJ,O
fácil,_,_,ADJ,I
señala,_,_,VERB,O
dejan,_,_,AUX,O
dejan,_,_,VERB,O
llevar,_,_,VERB,O
falsa,_,_,ADJ,O
sensación,_,_,NOUN,O
dan,_,_,VERB,O
dan,_,_,VERB,I
convierten,_,_,VERB,O
blancos,_,_,NOUN,O
ellos,_,_,PRON,O
permanece,_,_,VERB,O
Otra,_,_,DET,O
Otra,_,_,DET,B
compartiendo,_,_,VERB,O
demasiada,_,_,DET,O
producirá,_,_,VERB,O
"7,4",_,_,NUM,O
casos,_,_,NOUN,O
año,_,_,NOUN,O
año,_,_,NOUN,I
robo,_,_,NOUN,O
asegura,_,_,VERB,O
Esa,_,_,DET,B
advierten,_,_,VERB,O
usada,_,_,VERB,O
hackear,true,Insertion,VERB,O
contraseñas,_,_,NOUN,O
suplantar,_,_,VERB,O
Entre,_,_,ADP,B
Entre,_,_,ADP,O
menudo,_,_,NOUN,O
revelan,_,_,VERB,O
nombres,_,_,NOUN,O
edad,_,_,NOUN,O
fecha,_,_,NOUN,O
nacimiento,_,_,NOUN,O
dirección,_,_,NOUN,O
nombre,_,_,NOUN,O
nombre,_,_,NOUN,I
escuela,_,_,NOUN,O
mascota,_,_,NOUN,O
mascota,_,_,NOUN,I
Muchos,_,_,PRON,O
esos,_,_,DET,O
detalles,_,_,NOUN,O
siguen,_,_,VERB,O
disponibles,_,_,ADJ,O
después,_,_,ADV,O
después,_,_,ADV,I
pasan,_,_,AUX,O
pasan,_,_,VERB,I
pasan,_,_,VERB,O
adultos,_,_,NOUN,O
usados,_,_,VERB,O
hackers,false,Insertion,NOUN,O
compras,_,_,NOUN,O
compras,_,_,NOUN,I
online,false,Insertion,PROPN,O
online,false,Insertion,VERB,O
online,_,_,PROPN,O
online,_,_,VERB,O
préstamos,_,_,NOUN,O
fraudulentos,_,_,NOUN,O
transacciones,_,_,NOUN,O
tarjetas,_,_,NOUN,O
crédito,_,_,NOUN,O
Ecix,_,_,PROPN,B
despacho,_,_,NOUN,O
ciberabogados,_,_,ADJ,O
dedicados,_,_,ADJ,O
defender,_,_,VERB,O
empresas,_,_,NOUN,O
grandes,_,_,ADJ,O
particulares,_,_,NOUN,O
aseguran,_,_,VERB,O
saber,_,_,AUX,O
saber,_,_,NOUN,O
existencia,_,_,NOUN,O
ciertas,_,_,DET,O
provocar,_,_,VERB,O
éstas,_,_,PRON,O
usadas,_,_,VERB,O
fines,_,_,NOUN,O
pornografía,_,_,NOUN,O
infantil,_,_,ADJ,O
ciberacoso,_,_,ADJ,O
ciberbullying,true,Insertion,NOUN,O
cibersuplantación,_,_,NOUN,O
Por,_,_,ADP,O
Por,_,_,ADP,B
estos,_,_,DET,O
estos,_,_,DET,I
motivos,_,_,NOUN,O
conviene,_,_,VERB,O
pensar,_,_,AUX,O
pensar,_,_,VERB,O
será,_,_,AUX,O
beneficioso,_,_,ADJ,O
nuestros,_,_,DET,O
suyas,_,_,ADJ,O
permanezcan,_,_,VERB,O
lee,_,_,VERB,O
sitio,_,_,NOUN,O
web,false,Insertion,ADJ,O
medidas,_,_,NOUN,O
tomar,_,_,VERB,O
especialistas,_,_,NOUN,O
informática,_,_,ADJ,O
dicen,_,_,VERB,O
comprobar,_,_,VERB,O
ajustes,_,_,NOUN,O
deben,_,_,AUX,O
saben,_,_,VERB,O
públicos,_,_,ADJ,O
Gracias,_,_,NOUN,O
Gracias,_,_,PROPN,I
estafadores,_,_,NOUN,O
obtener,_,_,VERB,O
tipo,_,_,NOUN,O
tipo,_,_,NOUN,I
requieren,_,_,VERB,O
robarle,_,_,PROPN,O
alguien,_,_,PRON,O
Jodie,_,_,PROPN,B
Gilbert,_,_,PROPN,I
Creo,_,_,VERB,O
Creo,_,_,VERB,B
fundamental,_,_,ADJ,O
revisar,_,_,VERB,O
regularmente,_,_,ADV,O
cuentas,_,_,NOUN,O
evitar,_,_,AUX,O
evitar,_,_,VERB,O
caiga,_,_,ADJ,O
manos,_,_,NOUN,O
equivocadas,_,_,ADJ,O
añade,_,_,VERB,O
Tanto,_,_,ADV,B
cuentan,_,_,VERB,O
opciones,_,_,NOUN,O
limitar,_,_,VERB,O
ven,_,_,VERB,O
recomendable,_,_,ADJ,O
desactivar,_,_,VERB,O
funciones,_,_,NOUN,O
ubicación,_,_,NOUN,O
geolocalización,_,_,NOUN,O
dar,_,_,VERB,O
dar,_,_,VERB,I
privada,_,_,ADJ,O
sabes,_,_,VERB,O
ciencia,_,_,NOUN,O
cierta,_,_,DET,O
usar,_,_,VERB,O
opción,_,_,NOUN,I
opción,_,_,NOUN,O
mostrar,_,_,VERB,O
proteger,_,_,VERB,O
así,_,_,ADV,O
así,_,_,ADV,I
ARTICLE0005,_,_,PROPN,B
revival,_,_,NOUN,I
Mussolini,_,_,PROPN,I
Mussolini,_,_,PROPN,B
comedia,_,_,NOUN,O
comedia,_,_,NOUN,I
polémica,_,_,ADJ,O
polémica,_,_,NOUN,O
Italia,_,_,PROPN,B
Italia,_,_,PROPN,I
Sono,_,_,PROPN,B
tornato,_,_,PROPN,I
tornato,_,_,ADJ,I
tornato,_,_,NOUN,I
tornato,_,_,ADJ,O
muestra,_,_,VERB,O
Duce,_,_,PROPN,B
actualidad,_,_,NOUN,O
abrió,_,_,VERB,O
debates,_,_,NOUN,O
disparó,_,_,VERB,O
críticas,_,_,NOUN,O
ROMA,_,_,PROPN,B
He,_,_,AUX,O
regresado,_,_,VERB,O
título,_,_,NOUN,O
título,_,_,NOUN,I
está,_,_,AUX,O
está,_,_,VERB,I
está,_,_,VERB,O
está,_,_,AUX,I
dando,_,_,VERB,O
hablar,_,_,VERB,O
hablar,_,_,VERB,I
cual,_,_,PRON,O
repentinamente,_,_,ADV,O
tras,_,_,ADP,O
explosión,_,_,NOUN,O
misteriosa,_,_,ADJ,O
Benito,_,_,PROPN,B
padre,_,_,NOUN,O
padre,_,_,NOUN,I
fascismo,_,_,NOUN,O
vuelve,_,_,AUX,O
vuelve,_,_,VERB,O
país,_,_,NOUN,O
país,_,_,NOUN,I
72,_,_,NUM,O
muerte,_,_,NOUN,O
fusilamiento,_,_,NOUN,O
28,_,_,NUM,O
abril,_,_,NOUN,O
1945,_,_,NUM,O
61,_,_,NUM,O
película,_,_,NOUN,I
película,_,_,NOUN,O
versión,_,_,NOUN,O
versión,_,_,NOUN,I
italiana,_,_,ADJ,O
otro,_,_,DET,O
film,_,_,NOUN,O
parecido,_,_,ADJ,O
parecido,_,_,ADJ,I
hizo,_,_,VERB,O
hizo,_,_,VERB,I
Alemania,_,_,PROPN,B
Adolf,_,_,PROPN,B
Hitler,_,_,PROPN,I
pinta,_,_,VERB,O
retrato,_,_,NOUN,O
terrible,_,_,ADJ,O
actual,_,_,ADJ,O
regresa,_,_,VERB,O
pleno,_,_,ADJ,O
verano,_,_,NOUN,O
Roma,_,_,PROPN,B
caótica,_,_,ADJ,O
interpretado,_,_,ADJ,O
actor,_,_,NOUN,O
Massimo,_,_,PROPN,B
Popolizio,_,_,PROPN,I
puesto,_,_,VERB,O
banquillo,_,_,NOUN,O
denostado,_,_,ADJ,O
significó,_,_,VERB,O
historia,_,_,NOUN,O
historia,_,_,NOUN,I
dictadura,_,_,NOUN,O
fascista,_,_,ADJ,O
derrota,_,_,NOUN,O
Segunda,_,_,PROPN,B
Guerra,_,_,PROPN,I
Mundial,_,_,PROPN,I
leyes,_,_,NOUN,O
raciales,_,_,ADJ,O
judíos,_,_,NOUN,O
televisivo,_,_,ADJ,O
Al,_,_,ADP,B
Al,_,_,ADP,O
estilo,_,_,NOUN,I
estilo,_,_,NOUN,O
reality,false[1],Insertion[1],PROPN,I
shows,false[1],Insertion[1],PROPN,I
torna,_,_,VERB,O
divo,_,_,NOUN,O
denuncia,_,_,VERB,O
ese,_,_,DET,O
sometimiento,_,_,NOUN,O
italianos,_,_,NOUN,O
caja,_,_,PROPN,O
boba,_,_,PROPN,O
rompe,_,_,VERB,O
todos,_,_,DET,O
todos,_,_,PRON,O
todos,_,_,PRON,I
récords,_,_,NOUN,O
audiencia,_,_,NOUN,O
mayoría,_,_,NOUN,O
gente,_,_,NOUN,O
gente,_,_,NOUN,I
increparlo,_,_,VERB,O
calle,_,_,NOUN,O
hubo,_,_,AUX,O
cámaras,_,_,NOUN,O
reales,_,_,ADJ,O
escenas,_,_,NOUN,O
saca,_,_,VERB,O
selfies,false,Insertion,NOUN,O
saluda,_,_,VERB,O
saluda,_,_,ADJ,O
brazo,_,_,NOUN,O
alto,_,_,NOUN,O
viva,_,_,VERB,O
habla,_,_,VERB,O
pueblo,_,_,NOUN,O
italiano,_,_,NOUN,O
indulgente,_,_,ADV,O
líderes,true,Insertion,NOUN,O
nadie,_,_,PRON,I
nadie,_,_,PRON,O
da,_,_,VERB,O
extraño,_,_,ADJ,O
hombre,_,_,NOUN,O
hombre,_,_,NOUN,I
pelado,_,_,ADJ,O
parecer,_,_,NOUN,O
parecer,_,_,NOUN,I
disfrazado,_,_,ADJ,O
realmente,_,_,ADV,O
ríen,_,_,VERB,O
proclama,_,_,VERB,O
políticamente,_,_,ADV,O
correctas,_,_,VERB,O
atacar,_,_,VERB,O
democracia,_,_,NOUN,O
putrefacción,_,_,NOUN,O
inmigrantes,_,_,NOUN,O
gays,false,Insertion,PROPN,O
izquierda,_,_,NOUN,O
izquierda,_,_,ADJ,O
atrapa,_,_,VERB,O
porque,_,_,SCONJ,O
ideas,_,_,NOUN,O
males,_,_,NOUN,O
líder,true,Insertion,NOUN,O
fuerte,_,_,ADJ,O
mando,_,_,NOUN,O
económica,_,_,ADJ,O
moralmente,_,_,ADV,O
deriva,_,_,NOUN,O
marcado,_,_,ADJ,O
marcado,_,_,VERB,O
escándalos,_,_,NOUN,O
corrupción,_,_,NOUN,O
continuos,_,_,ADJ,O
principio,_,_,NOUN,O
principio,_,_,NOUN,I
hace,_,_,AUX,O
hace,_,_,VERB,O
reír,_,_,VERB,O
termina,_,_,VERB,O
drama,_,_,NOUN,O
grotesco,_,_,ADJ,O
estrenó,_,_,VERB,O
estrenó,_,_,VERB,I
semana,_,_,NOUN,O
pasada,_,_,ADJ,O
momentos,_,_,NOUN,O
gran,_,_,ADJ,O
preocupación,_,_,NOUN,O
auge,_,_,NOUN,O
grupos,_,_,NOUN,O
grupos,_,_,NOUN,I
extrema,_,_,ADJ,O
extrema,_,_,ADJ,I
derecha,_,_,NOUN,O
derecha,_,_,NOUN,I
