id,text,meta,annotation_approver,labels,section
6227,"'Selfies' en 3D, el arte de imprimir a tu suegra en un muñeco antiestrés",{},,"[[1, 8, 'ENG']]",technology
6247,"El brexit, bajo el microscopio",{},,"[[3, 9, 'ENG']]",technology
6266,"‘Wearables’, robots y coches del futuro: diez tecnologías del CES 2016 que debe conocer todo CIO",{},,"[[1, 10, 'ENG']]",technology
6270,Un empresario australiano le dice a la BBC que él creó el bitcoin,{},,"[[58, 65, 'ENG']]",technology
6272,Díaz Ferrán gastó 47.900 euros en restaurantes de Arturo Fernández con su tarjeta 'black',{},,"[[83, 88, 'ENG']]",economy
6287,Los otros 'techies': esta fotógrafa activista retrata el Silicon Valley más diverso,{},,"[[11, 18, 'ENG']]",technology
6289,'Crowdfunding' para financiar familias,{},,"[[1, 13, 'ENG']]",technology
6296,El abogado que defiende a Deliveroo frente a sus 'riders' fue jefe de inspectores de Trabajo en Madrid,{},,"[[50, 56, 'ENG']]",economy
6302,Más de la mitad de las 'apps' son un negocio ruinoso (tanto en Android como en iOS),{},,"[[24, 28, 'ENG']]",technology
6303,Las socimis crean un lobby en España para defender sus intereses de manera conjunta,{},,"[[21, 26, 'ENG']]",economy
6341,"Oristrell ficha al 'Rancio' de ""La que se avecina"" para una serie de TV online",{},,"[[72, 78, 'ENG']]",tv
6351,"La burbuja de los 'wearables', de tu muñeca al cajón del olvido",{},,"[[19, 28, 'ENG']]",technology
6352,¿Cuánto oro hay en tu móvil? Descubre los valiosos materiales que se esconden en tu 'smartphone',{},,"[[85, 95, 'ENG']]",technology
6371,Londres se tambalea como sede de las 'fintech' por el Brexit,{},,"[[38, 45, 'ENG']]",economy
6384,"Estrellas, corazones y aplausos: los símbolos del negocio del 'like' en internet",{},,"[[63, 67, 'ENG']]",technology
6414,Pesadilla en Moncloa street,{},,"[[21, 27, 'ENG']]",opinion
6449,La Lista Robinson: haciendo naufragar al 'spam' publicitario desde hace 25 años,{},,"[[42, 46, 'ENG']]",technology
6461,Los 'surfers' de Yahoo: cómo unos libreros conquistaron el Salvaje Oeste de internet,{},,"[[5, 12, 'ENG']]",technology
6484,Dos emails negaron problemas en Bankia-BFA justo antes de su nacionalización,{},,"[[4, 10, 'ENG']]",economy
6485,Salud y ecología: estas son las ‘startups’ españolas más prometedoras de Europa,{},,"[[33, 41, 'ENG']]",technology
6502,El BCE avisa del riesgo de los CLO: un producto que mueven los fondos similar a las subprime que causaron la crisis de 2008,{},admin,"[[84, 92, 'ENG']]",economy
6512,'Crowdfunding' erótico: los secretos (confesables) de una web que ofrece recompensas picantes,{},,"[[1, 13, 'ENG']]",technology
6547,"""Ella siempre protege el reality"": nuevo tráiler de la 3ª de UnReal",{},,"[[25, 32, 'ENG']]",tv
6554,"Este ""polígrafo"" no miente: tu 'app' está mal diseñada porque ignoraste al usuario",{},,"[[32, 35, 'ENG']]",technology
6557,¿Te apetece comer algo fresco? Prepara esta ensalada de aguacate y tomate cherry con vinagreta de mostaza,{},,"[[74, 80, 'ENG']]",lifestyle
6558,El 'crowdlending' entra en escena: qué es y cómo se monta una plataforma de préstamos participativos,{},,"[[4, 16, 'ENG']]",economy
6567,Manual de 'compliance' para rijosos,{},,"[[11, 21, 'ENG']]",opinion
6589,La Agencia Tributaria lanza una app para hacer la declaración de la renta este año,{},,"[[32, 35, 'ENG']]",economy
6598,Productor y víctimas de 'The Walking Dead' hablan tras la resolución del cliffhanger,{},,"[[73, 84, 'ENG']]",tv
6615,"El tsunami en Japón otorga récords del curso a Ana Blanco, Manu Carreño y canal 24H",{},,"[[3, 10, 'OTHER']]",tv
6618,"Quiero dejar el plástico, pero no puedo: el tortuoso caso de los 'reyes' del tupper a domicilio",{},,"[[77, 83, 'ENG']]",economy
6665,Rosalía paraliza Madrid con un concierto que la consagra como la diva del pop 'millennial',{},,"[[79, 89, 'ENG']]",music
6685,"El España-USA (45%), partido de basket más visto de la historia, y la gala de clausura (30%) de los JJOO barren en TVE",{},,"[[32, 38, 'ENG']]",tv
6690,La sentencia del procés nos condena a la España eterna,{},,"[[17, 23, 'OTHER']]",opinion
6711,Diez proyectos alucinantes que demuestran el poder del ‘big data’,{},,"[[56, 64, 'ENG']]",technology
6714,"Volkswagen cierra acuerdo con franquicias en EEUU por el ""dieselgate""",{},admin,"[[58, 68, 'ENG']]",economy
6734,Barricadas incendiadas con senyeras y rojigualdas,{},,"[[27, 35, 'OTHER']]",opinion
6747,"Las apps para aprender idiomas, ¿dan resultado?",{},,"[[4, 8, 'ENG']]",lifestyle
6760,El 'streaming' impulsa el mayor crecimiento de la industria musical en 20 años,{},,"[[4, 13, 'ENG']]",music
6793,Ciudades fantasma: un nuevo 'software' elimina a los mortales de las cámaras de vigilancia,{},,"[[29, 37, 'ENG']]",technology
6795,La première de 'Ocho apellidos catalanes' destaca en el access de Divinity,{},,"[[3, 11, 'OTHER']]",tv
6797,TVE ficha a Patricia Gaztañaga para presentar el reality 'Cuestión de tiempo' en La 1,{},,"[[49, 56, 'ENG']]",tv
6848,"Estimada Ada, queridos 'comuns'",{},,"[[24, 30, 'OTHER']]",opinion
6853,La firma de lobby Kreab contrata al ex secretario de Estado de Hacienda Miguel Ferre,{},,"[[12, 17, 'ENG']]",economy
6871,Descubre el congreso de hackers que destruirá tu fe en las infraestructuras que usas cada día,{},,"[[24, 31, 'ENG']]",technology
6875,¿Larga vida al heavy metal?,{},,"[[15, 26, 'ENG']]",music
6881,El español que ayuda a las 'startups' del espacio a conseguir dinero para despegar,{},,"[[28, 36, 'ENG']]",technology
6897,“No soy una 'booth babe'”: reivindicando a la mujer en las ferias tecnológicas,{},,"[[13, 23, 'ENG']]",technology
6923,Así se montan las redes de 'bots' que avergüenzan a los políticos en Twitter (cuando les pillan),{},,"[[28, 32, 'ENG']]",technology
6930,El ranking de los más ricos de la Administración española,{},,"[[3, 10, 'ENG']]",economy
6937,Centro Criptológico del CNI detecta debilidades en la app Tsunami Democràtic,{},,"[[54, 57, 'ENG']]",technology
6949,El lobby del juego online rechaza que se prohíba la publicidad del sector tras reunirse con el ministro Garzón,{},,"[[3, 8, 'ENG'], [19, 25, 'ENG']]",economy
6966,Los hackers rusos golpean de nuevo robando a la NSA información confidencial,{},,"[[4, 11, 'ENG']]",technology
6975,Los dardos envenenados del Cupido 2.0: en el amor 'online' no todo es color de rosa,{},,"[[51, 57, 'ENG']]",technology
6977,El 'spam' cumple 40 años: así se cabrearon las primeras víctimas del correo basura,{},,"[[4, 8, 'ENG']]",technology
7029,Jerez 'made in USA' y otras nueve cosas que te cabrearán si Europa firma el TTIP,{},,"[[7, 18, 'ENG']]",lifestyle
7037,"La extradición de Assange sienta un precedente catastrófico, sobre todo si eres 'freelance'",{},,"[[81, 90, 'ENG']]",opinion
7041,"El directivo que recibía asesoramiento de Pujalte dice que el político era su ""coach""",{},,"[[79, 84, 'ENG']]",economy
7044,"""Raffaella Carrá negocia su gran vuelta a TV como 'coach' de 'La Voz' en Italia""",{},,"[[51, 56, 'ENG']]",tv
7055,"Ugly food: fruta fea y deformada, pero igual de buena",{},,"[[0, 9, 'ENG']]",lifestyle
7064,"""Vuelve a sentirte grande"": la genial campaña con boxeadores de Jero García para luchar contra el bullying",{},,"[[98, 106, 'ENG']]",tv
7080,Gigante de software de Reino Unido apuesta por Brasil como mercado emergente,{},,"[[11, 19, 'ENG']]",technology
7088,Es oficial: 'Vis a Vis' tendrá un spin-off con Najwa Nimri y Maggie Civantos en Fox,{},,"[[34, 42, 'ENG']]",tv
7097,"El ex secretario de Estado Rodríguez-Ponga, procesado por las ‘black’, deja El Corte Inglés",{},,"[[63, 68, 'ENG']]",economy
7106,Miley Cyrus y Selena Gómez pelean por el topless más sexy,{},,"[[41, 48, 'ENG'], [53, 57, 'ENG']]",tv
7129,Siete diferencias (y guiños) entre la fiesta del iPhone X y la mítica 'keynote' de Jobs,{},,"[[71, 78, 'ENG']]",technology
7134,Los grandes también piden: el mayor 'crowdfunding' de la historia financiará el primer móvil Ubuntu,{},,"[[37, 49, 'ENG']]",technology
7140,Jugoso teaser de la 9ª temporada de The Walking Dead,{},,"[[7, 13, 'ENG']]",tv
7152,Geolocalización y mapas para buscar casa: ahora tu 'smartphone' es un agente inmobiliario,{},,"[[52, 62, 'ENG']]",technology
7166,Cazadores de bulos: los ingenieros que tratan de ganar la guerra a las 'fake news',{},,"[[72, 81, 'ENG']]",technology
7185,"El WhatsApp de Albert Rivera, hackeado por un ataque de 'phishing'",{},,"[[57, 65, 'ENG']]",technology
7197,El Gobierno encarga al 'think tank' de la patronal que mida el impacto del TTIP para España,{},,"[[24, 34, 'ENG']]",economy
7206,"10 motivos de salud, dinero y medio ambiente para decir No a la ropa low cost",{},,"[[69, 77, 'ENG']]",lifestyle
7214,Hemos sacado dinero del DIA con la app de ING y te explicamos cómo hacerlo paso a paso,{},,"[[35, 38, 'ENG']]",economy
7217,"Islas Vírgenes, Bahamas, Jersey… el entramado offshore tras la promotora del mayor rascacielos de Valencia",{},,"[[46, 54, 'ENG']]",economy
7218,Making of de 'El Príncipe',{},,"[[0, 9, 'ENG']]",tv
7229,Antena 3 planea relanzar 'The X Factor' en España como su nuevo talent estelar,{},,"[[64, 70, 'ENG']]",tv
7236,"MTV presenta el nuevo curso con ""Gandía Shore"" y el reality de Snooki y Jwoww como platos fuertes",{},,"[[52, 59, 'ENG']]",tv
7254,Prepara en un santiamén esta mousse vegana de chocolate para cuatro personas,{},,"[[29, 35, 'OTHER']]",lifestyle
7263,"Surf, skate, mountain bike... Un sensor todoterreno para los más aventureros",{},,"[[13, 26, 'ENG'], [6, 11, 'ENG']]",technology
7269,"The Pirate Bay, una década evitando el abordaje del 'lobby' antipiratería",{},,"[[53, 58, 'ENG']]",technology
7273,La detención de Nacho Vidal provoca un Trending Topic y cascada de humor erótico en Twitter,{},,"[[39, 53, 'ENG']]",tv
7274,Identifican a un reportero freelance como uno de los terroristas de Bruselas,{},,"[[27, 36, 'ENG']]",tv
7293,Cómo Twitch y las televisiones se han convertido en salvavidas de ‘youtubers’,{},,"[[67, 76, 'ENG']]",technology
7319,"Por tercer año consecutivo, la mejor app de banca móvil es española",{},,"[[37, 40, 'ENG']]",lifestyle
7331,El Gobierno cede a las presiones del lobby hotelero y pone trabas al alquiler vacacional,{},,"[[37, 42, 'ENG']]",economy
7385,"Casas pasivas, ¿tendencia sostenible o marketing inmobiliario?",{},,"[[39, 48, 'ENG']]",lifestyle
7401,Se necesitan (urgentemente) desarrolladores y 'data scientists',{},,"[[47, 62, 'ENG']]",technology
7412,"Luces, cámara... ¡Y 'start'! Partidas de cine y juegos para disfrutar con palomitas",{},,"[[21, 26, 'ENG']]",technology
7436,"Pablo Motos (16%) y Pedro Piqueras (15%), dos ganadores de la 'reentré' televisiva",{},admin,"[[63, 70, 'OTHER']]",tv
7439,Empieza el Black Friday: seis cosas que pensar antes de pagar por un chollo,{},,"[[11, 23, 'ENG']]",lifestyle
7448,La Lotería de Navidad estrena su tradicional spot,{},,"[[45, 49, 'ENG']]",tv
7450,VÍDEO: La Zona de Movistar lanza un nuevo teaser,{},,"[[42, 48, 'ENG']]",tv
7472,Batch cooking y real fooding: cómo usar Instagram para comer más sano,{},,"[[16, 28, 'ENG'], [0, 13, 'ENG']]",lifestyle
7475,¿Te acuerdas de los videojuegos de reloj? Lo 'retro' vuelve con los 'smartwatches',{},,"[[69, 81, 'ENG']]",technology
7482,"La 'app' que enseña mates a tus hijos: ""El profesor como líder no va a desaparecer""",{},,"[[4, 7, 'ENG']]",technology
7484,"El 'youtuber' que destripa los combates de 'Juego de Tronos': ""Son bastante malos""",{},,"[[4, 12, 'ENG']]",technology
7488,Ensalada 'asian fusion' de col y camarones para cuatro personas,{},,"[[10, 22, 'ENG']]",lifestyle
7490,"El 'metal' es para siempre (ratas, cucarachas y Lemmy Motörhead)",{},,"[[4, 9, 'ENG']]",music
7496,"Cómete las especies invasoras de tu ciudad: la idea de una start-up berlinesa para combatir las ""plagas""",{},,"[[59, 67, 'ENG']]",economy
7507,"Varios hospitales británicos, víctimas también de un ataque a gran escala de 'ransomware'",{},,"[[78, 88, 'ENG']]",technology
7519,"En la peculiar familia de los 'chatbots' hay psicólogos, policías y muchas jovencitas de silicio",{},,"[[31, 39, 'ENG']]",technology
7534,"""Los grandes bancos pueden copiar las ideas de las 'fintech' pero no aplicarlas en su organización""",{},,"[[52, 59, 'ENG']]",economy
7536,Cuando Barcelona era una fiesta (y Valencia era su 'after'),{},,"[[52, 57, 'ENG']]",music
7547,La explosiva 'top model' italiana que ficha por las sobremesas de laSexta,{},,"[[14, 23, 'ENG']]",tv
7550,"El AVE ""low cost"" de Renfe se llamará AVLO y empezará el 6 de abril en el trayecto Barcelona–Zaragoza–Madrid",{},,"[[8, 16, 'ENG']]",economy
7571,El acuerdo de brexit prolonga la incertidumbre de los científicos españoles,{},,"[[14, 20, 'ENG']]",technology
7623,Un youtuber alcanza los 300 vídeos en los que simplemente se sienta y sonríe en silencio durante horas,{},,"[[3, 11, 'ENG']]",technology
7632,"La Masterclass de David Simon con su fascinante visión de la TV y el ""peor error""",{},,"[[3, 14, 'ENG']]",tv
7648,Facebook (también) dio acceso a tus datos personales a casi todos los fabricantes de smartphones,{},,"[[85, 96, 'ENG']]",technology
7666,"TVE ""Conecta España"" desde el aire en su nuevo docushow",{},admin,"[[47, 55, 'ENG']]",tv
7671,Así redacta un lobby una enmienda a un eurodiputado para rebajar las exigencias contra la contaminación,{},,"[[15, 20, 'ENG']]",economy
7741,"De Pedrerol a Susi Caramelo, en el anuncio navideño de Campofrío sobre cómo se fabrican las 'fake news'",{},,"[[93, 102, 'ENG']]",tv
7751,La playlist de temazos de eldiario.es para que lo des todo en Nochevieja,{},,"[[3, 11, 'ENG']]",music
7766,Unidos Podemos llevará al Constitucional la ley que permite a los partidos elaborar perfiles ideológicos y enviar spam electoral,{},,"[[114, 118, 'ENG']]",technology
7771,"La 1 anuncia el estreno de '22 ángeles', su nueva tv-movie de época",{},,"[[50, 58, 'ENG']]",tv
7775,Los reyes del consumo de vídeo on line en España,{},,"[[31, 38, 'ENG']]",tv
7797,Esta es la realidad que ignoras del wasabi que te sirven con el sushi,{},,"[[36, 42, 'OTHER'], [64, 69, 'OTHER']]",lifestyle
7800,Dime qué uso le vas a dar y te diré qué smartphone comprarte,{},,"[[40, 50, 'ENG']]",lifestyle
7836,"50 años de Led Zeppelin, el grupo fraguado entre 'raves' salvajes que hizo historia",{},,"[[50, 55, 'ENG']]",music
7841,Dimite el secretario general de UGT Madrid por el escándalo de las tarjetas 'black',{},,"[[77, 82, 'ENG']]",economy
7846,Un hombre y su 'bot' escriben el 10% de Wikipedia (pero no has leído nada suyo),{},,"[[16, 19, 'ENG']]",technology
7850,¿Qué programas de TV ven los 'Millennials'?,{},,"[[30, 41, 'ENG']]",tv
7901,Los Vine de los 40 se llamaban 'soundies' (y algunos eran subiditos de tono),{},,"[[32, 40, 'ENG']]",technology
7902,Nueve consejos para disfrutar Bangkok sin subirte a un 'tuk tuk',{},,"[[56, 63, 'OTHER']]",lifestyle
7920,"El CSI Gil Grissom felicitó ""en persona"" a Joel González por su oro en taekwondo",{},,"[[71, 80, 'OTHER']]",tv
7928,Sketch improvisado de La Blasa y Pepe Rodríguez en 'El Acabose',{},,"[[0, 6, 'ENG']]",tv
7955,Así juegan los fans a emparejar a los 'youtubers' (con un toque picante),{},,"[[39, 48, 'ENG']]",technology
8007,"Antena 3 compra el concurso ""Te lo mereces"", uno de los 'hits' de Mip TV",{},,"[[57, 61, 'ENG']]",tv
8020,Dignifica.me: una aplicación 'made in Spain' para denunciar las ofertas de trabajo abusivas,{},,"[[30, 43, 'ENG']]",technology
8030,'Fake news' per cápita: la media en EEUU ya sale a un bulo visto en Facebook por cada ciudadano con derecho a voto,{},,"[[1, 10, 'ENG']]",technology
8042,"En un mundo de redes sociales, las 'newsletters' se niegan a morir",{},,"[[36, 47, 'ENG']]",technology
8105,La cautivadora tienda 'online' del arte desagradable,{},,"[[23, 29, 'ENG']]",technology
8106,Telecinco se queda con “The Voice” tras el boom de los ‘talent shows’,{},,"[[43, 47, 'ENG'], [56, 68, 'ENG']]",tv
8125,De Castelldefels al espacio: un laboratorio de 'makers' hasta el infinito y más allá,{},admin,"[[48, 54, 'ENG']]",technology
8146,El gigante de los 'coworkings' WeWork ultima su salida a Bolsa tras perder dos mil millones en año y medio,{},,"[[19, 29, 'ENG']]",economy
8161,Dejemos de tirar la comida: tecnología y 'apps' para evitar un enorme desperdicio,{},,"[[42, 46, 'ENG']]",technology
8183,"Huercasa Country Festival: Remolachas, mazorcas y line dance sin subvenciones",{},admin,"[[50, 60, 'ENG']]",music
8190,El primer manual del movimiento 'maker' saldrá adelante gracias al 'crowdfunding',{},,"[[33, 38, 'ENG'], [68, 80, 'ENG']]",technology
8196,"Vídeo: Amaia interpreta el ""Teléfono"" de Aitana en el casting de Operación triunfo",{},,"[[54, 61, 'ENG']]",tv
8198,Regifting: qué hacer con los regalos de reyes y Navidad que no queremos,{},,"[[0, 9, 'ENG']]",lifestyle
8294,Los showrunners más influyentes de nuestras series revelan claves de éxito y fracaso,{},,"[[4, 15, 'ENG']]",tv
8312,Line: el refugio de los exiliados de WhatsApp quiere ser el Google de la era 'smartphone',{},,"[[78, 88, 'ENG']]",technology
8329,11 ofertas 'techies' de Black Friday que se acabarán rápido,{},,"[[12, 19, 'ENG'], [24, 36, 'ENG']]",lifestyle
8333,Sacyr renueva el consejo de Testa y desaloja a los usuarios de las 'black' Corsini y Rodríguez-Ponga,{},,"[[68, 73, 'ENG']]",economy
8337,"George Clooney rechazó reaparecer en el revival de Roseanne: ""Fue una decepción""",{},,"[[40, 47, 'ENG']]",tv
8352,Una 'startup' española batallará contra Xiaomi tras llevar a juicio a Vodafone y Huawei con una demanda millonaria,{},,"[[5, 12, 'ENG']]",economy
8375,"Carlos Boyero descubre a los Youtubers y opina: ""No tienen ni p... gracia""",{},,"[[29, 38, 'ENG']]",tv
8385,"'Outsiders', soberanistas y antisistema: la UE sitúa a Italia donde quieren Salvini y Di Maio",{},,"[[1, 10, 'ENG']]",economy
8434,"Holaluz prevé ""fusiones y cierres"" de comercializadoras eléctricas tras el boom de los últimos años",{},,"[[75, 79, 'ENG']]",economy
8453,"Censurado por ""racista"" el último spot de Ashton Kutcher",{},,"[[34, 38, 'ENG']]",tv
8475,'Blarping': búrlate de la jerga corporativa trabajando en esta irónica oficina virtual,{},,"[[1, 9, 'ENG']]",technology
8481,La plataforma de 'crowdfunding' que ha destronado a Kickstarter sin hacer ruido,{},,"[[18, 30, 'ENG']]",technology
8488,Telecinco revoluciona su prime time con la llegada de octubre,{},,"[[25, 35, 'ENG']]",tv
8496,Los 'cibercarteristas' pueden robar de tu tarjeta NFC colando un 'app' en tu Android,{},,"[[66, 69, 'ENG']]",technology
8502,Escándalo en la TV alemana por los topless contra Heidi Klum,{},,"[[35, 42, 'ENG']]",tv
8527,Este es el top 10 de sustancias que más manchan los dientes,{},,"[[11, 14, 'ENG']]",lifestyle
8536,"Sco Pa tu Manaa, por la gloria de mi madre",{},,"[[0, 15, 'OTHER']]",technology
8542,El candidato 'nerd' que quiere llegar a la Casa Blanca para salvarnos de los robots,{},,"[[14, 18, 'ENG']]",technology
8563,Se abre el telón y aparecen veinte ‘youtubers’: ¿cómo se llama la función?,{},,"[[36, 45, 'ENG']]",technology
8565,"El 5G, la Inteligencia Artificial y el Big Data prometen transformar la sociedad",{},admin,"[[39, 47, 'ENG']]",technology
8568,Las grandes cadenas se suman al pago móvil para aprovechar la fiebre española por los smartphones,{},,"[[86, 97, 'ENG']]",economy
8586,Iberia arriesga su acuerdo laboral al exigir bajadas de sueldo al personal de 'handling',{},admin,"[[79, 87, 'ENG']]",economy
8614,Spam publicitario: esta es la razón por la que la Lista Robinson no siempre nos funciona,{},,"[[0, 4, 'ENG']]",lifestyle
8623,Así es la TV-movie sobre Los 33 de Atacama de Antena 3,{},admin,"[[10, 18, 'ENG']]",tv
8657,Estanislao Rodríguez Ponga (PP) se planta ante las preguntas por sus gastos con la Black,{},,"[[83, 88, 'ENG']]",economy
8701,Ayuso ficha como nueva directora de Trabajo de Madrid a la inspectora que detectó que 500 'riders' de Deliveroo eran falsos autónomos,{},,"[[91, 97, 'ENG']]",economy
8709,Cuando un país en desarrollo subcontrata sus escuelas a una 'startup',{},,"[[61, 68, 'ENG']]",technology
8711,Una 'app' para atraerlos a todos y cobrarles después: ¿logrará Tinder ser rentable?,{},,"[[5, 8, 'ENG']]",technology
8719,"""Invierte en justicia"": un 'crowdfunding' para que David derrote a Goliat (en los tribunales)",{},,"[[28, 40, 'ENG']]",technology
8747,"STREAMING | Jornada abierta sobre bienes comunes: ""Prácticas y debates necesarios""",{},,"[[0, 9, 'ENG']]",economy
8761,Esta misteriosa sátira de la cultura 'startup' tiene en vilo a Silicon Valley,{},,"[[38, 45, 'ENG']]",technology
8778,"Bizum, TwypCash y las 'wallets': guía práctica para saber para qué sirve cada app de pago con el móvil",{},,"[[23, 30, 'ENG'], [78, 81, 'ENG']]",economy
8783,El nuevo programa futbolero de 13TV ya tiene reportera sexy,{},,"[[55, 59, 'ENG']]",tv
8784,"La histórica ""Camelot"" llega el domingo al prime time de Antena 3",{},,"[[43, 53, 'ENG']]",tv
8785,‘Boom’ de inversiones en residencias de mayores: los fondos hacen caja con el envejecimiento ante la falta de oferta pública,{},,"[[1, 5, 'ENG']]",economy
8817,La app que valora si gozas de buena salud financiera,{},,"[[3, 6, 'ENG']]",lifestyle
8919,Beatriz Luengo descubre el vídeo que mandó al casting de 'Tu cara me suena',{},,"[[46, 53, 'ENG']]",tv
8928,Miguel Blesa se libra de explicar sus gastos con las black para alivio del resto de acusados,{},,"[[53, 58, 'ENG']]",economy
8950,El exministro José Bono vende un proyecto fotovoltaico en pleno boom del sector,{},,"[[64, 68, 'ENG']]",economy
8970,"Chinos, españoles... y Kazam, un nuevo actor en el camarote de los 'smartphones' baratos",{},,"[[68, 79, 'ENG']]",technology
8989,La denuncia de una veintena de mujeres tumba a una productora de porno online que las engañó para ganar millones,{},,"[[71, 77, 'ENG']]",technology
8997,El auge de la industria de las denuncias con el caso dieselgate,{},admin,"[[53, 63, 'ENG']]",economy
9002,La empresa de inteligencia artificial de los Aznar vende una falsa alianza con la única agencia española de rating,{},,"[[108, 114, 'ENG']]",economy
9005,"La TV recuerda a Carlos Larrañaga: ""Siempre nos quedará su sonrisa de dandy""",{},,"[[70, 75, 'ENG']]",tv
9016,"Máximo de ""Un país para comérselo"", que arrasa en Euskadi con el 'crossover' de Arguiñano",{},,"[[66, 75, 'ENG']]",tv
9021,"""Que 'La Nube' de La 2 sea Trending Topic en Twitter demuestra que la red se come la TV""",{},,"[[27, 41, 'ENG']]",tv
9031,"Hola, soy Hacienda, ¿hace usted apuestas online?",{},,"[[41, 47, 'ENG']]",economy
